supplier_id,supplier_name,name,country_code,country,city,industry,established_year,employee_count,annual_revenue_usd,annual_capacity_units,commodity_codes,certifications,financial_stability_score,quality_score,delivery_score,cost_score,sustainability_score,innovation_score,response_time_hours,minimum_order_quantity,lead_time_days,payment_terms,contract_type,preferred_currency,risk_level,risk_score,risk_tier,tier,status,preferred_supplier,onboarding_date,last_audit_date,on_time_delivery,performance_trend,recent_risk_spike
SUP-0138,Vietnam Advanced Industries 138,Vietnam Advanced Industries 138,VN,Vietnam,Hanoi,Electronics,1989,957,203104579.48,599164,"[""REE"", ""CTN"", ""SEM"", ""SLC""]","[""ISO 9001"", ""IATF 16949"", ""SA8000""]",79.74,99.12,75.28,69.45,54.78,74.08,42.2,4624,22,Net 60,spot,VND,Medium,37.41,Medium,Tier 2,active,false,2017-12-01,2024-05-12,75.28,stable,false
SUP-0139,South Korea Precision Supply 139,South Korea Precision Supply 139,KR,South Korea,Daegu,Polymers,2006,1991,879082165.38,48045,"[""RBR"", ""CTN"", ""COP"", ""NIC""]","[""LEED"", ""ISO 45001""]",68.09,85.62,89.33,81.3,60.21,74.59,18.1,4143,57,Net 90,spot,KRW,Low,27.32,Low,Tier 2,inactive,false,2017-08-01,2024-07-26,89.33,stable,false
SUP-0140,South Korea Industrial Materials 140,South Korea Industrial Materials 140,KR,South Korea,Seoul,Battery,1997,11105,909553317.47,294790,"[""NIC"", ""CTN"", ""CEM""]","[""SA8000"", ""ResponsibleSteel""]",87.98,89.03,87.75,71.56,69.61,99.29,22.4,4186,13,Net 30,framework,KRW,Low,18.88,Low,Tier 1,active,false,2017-05-01,2024-04-15,87.75,stable,false
SUP-0141,South Korea Global Components 141,South Korea Global Components 141,KR,South Korea,Daegu,Construction,1977,33,470304322.61,180769,"[""GLS"", ""TIM"", ""LIT"", ""SEM""]","[""ResponsibleSteel"", ""LEED""]",89.0,88.61,91.87,71.18,55.63,73.58,39.0,2278,25,Net 45,spot,KRW,Low,26.96,Low,Tier 3,active,false,2017-05-01,2024-06-18,91.87,stable,false
SUP-0142,South Korea Integrated Works 142,South Korea Integrated Works 142,KR,South Korea,Daegu,Battery,1989,8533,1023405474.81,898020,"[""NIC"", ""CTN""]","[""IATF 16949""]",72.71,95.93,78.42,73.11,76.32,73.83,3.2,2901,10,Net 60,framework,KRW,Low,22.97,Low,Tier 1,active,false,2017-08-01,2024-10-05,78.42,stable,false
SUP-0143,South Korea Advanced Industries 143,South Korea Advanced Industries 143,KR,South Korea,Daegu,Polymers,1996,23308,1060333184.33,468332,"[""PLA"", ""LIT"", ""CTN"", ""STL""]","[""ResponsibleSteel"", ""LEED"", ""IATF 16949"", ""ISO 14001""]",84.53,87.57,100,87.98,84.08,87.35,32.9,1102,16,Net 45,framework,KRW,Low,19.83,Low,Tier 1,active,false,2017-08-01,2024-04-24,100,stable,false
SUP-0144,South Korea Precision Supply 144,South Korea Precision Supply 144,KR,South Korea,Incheon,Metals,1990,1158,964482217.14,347299,"[""STL"", ""SEM"", ""LIT"", ""REE"", ""ALM""]","[""IATF 16949""]",70.9,91.82,80.31,60.75,97.58,79.52,30.2,4302,38,Net 60,spot,KRW,Low,30.92,Low,Tier 2,active,false,2017-05-01,2024-08-11,80.31,stable,false
SUP-0145,South Korea Industrial Materials 145,South Korea Industrial Materials 145,KR,South Korea,Busan,Construction,1999,13064,998519901.8,339708,"[""CEM"", ""SEM"", ""REE""]","[""ISO 14001"", ""ISO 45001""]",76.41,96.96,100,89.78,81.87,91.79,5.4,4629,27,Net 45,spot,KRW,Low,19.07,Low,Tier 1,active,false,2017-02-01,2024-08-16,100,stable,false
SUP-0146,South Korea Global Components 146,South Korea Global Components 146,KR,South Korea,Daegu,Packaging,1980,1803,254079516.92,312674,"[""PAP"", ""STL"", ""LIT"", ""TIM""]","[""ISO 9001"", ""ISO 45001""]",65.97,89.91,89.12,70.78,83.0,83.7,46.2,657,55,Net 90,framework,KRW,Low,17.86,Low,Tier 2,blacklisted,false,2017-04-01,2024-04-05,89.12,stable,false
SUP-0147,South Korea Integrated Works 147,South Korea Integrated Works 147,KR,South Korea,Busan,Electronics,1975,3300,603031255.94,1009559,"[""SEM"", ""STL"", ""NIC"", ""PAP""]","[""ISO 9001"", ""SA8000"", ""ISO 14001"", ""IATF 16949""]",93.65,88.23,82.92,83.37,84.52,72.81,30.0,4539,54,Net 45,spot,KRW,Low,21.48,Low,Tier 1,active,false,2017-05-01,2024-12-18,82.92,stable,false
SUP-0148,South Korea Advanced Industries 148,South Korea Advanced Industries 148,KR,South Korea,Seoul,Battery,1986,18414,163175973.1,963818,"[""LIT"", ""CTN"", ""TIM"", ""PLA"", ""CEM""]","[""ResponsibleSteel"", ""SA8000"", ""LEED""]",82.9,100,90.36,89.33,64.79,80.37,39.4,1860,26,Net 60,spot,KRW,Low,27.42,Low,Tier 1,active,false,2017-10-01,2024-11-19,90.36,stable,false
SUP-0149,South Korea Precision Supply 149,South Korea Precision Supply 149,KR,South Korea,Incheon,Construction,2008,144,576952726.86,163252,"[""CEM"", ""PLA"", ""SLC"", ""TIM"", ""RBR""]","[""LEED"", ""ISO 14001"", ""ISO 9001"", ""SA8000""]",72.63,91.9,86.1,67.65,89.34,76.77,10.1,3897,8,Net 30,multi-year,KRW,Low,19.92,Low,Tier 3,inactive,false,2017-01-01,2024-05-08,86.1,stable,false
SUP-0150,South Korea Industrial Materials 150,South Korea Industrial Materials 150,KR,South Korea,Seoul,Construction,1977,60,194473820.05,65569,"[""TIM"", ""RBR"", ""COP"", ""LIT""]","[""ResponsibleSteel""]",80.86,84.93,80.47,93.18,82.56,83.98,25.6,923,38,Net 30,multi-year,KRW,Low,25.12,Low,Tier 3,active,false,2017-04-01,,80.47,stable,false
SUP-0151,Brazil Precision Components 151,Brazil Precision Components 151,BR,Brazil,Rio de Janeiro,Battery,1984,2108,71543606.19,553595,"[""LIT"", ""PLA""]","[""IATF 16949"", ""ISO 9001"", ""ISO 45001""]",80.11,81.7,90.49,78.09,68.34,80.55,25.5,3613,63,Net 30,spot,BRL,Medium,48.91,Medium,Tier 2,active,false,2017-09-01,2024-05-12,90.49,stable,false
SUP-0152,Brazil Industrial Works 152,Brazil Industrial Works 152,BR,Brazil,Rio de Janeiro,Battery,1990,11947,70955139.73,594440,"[""LIT"", ""COP"", ""CTN""]","[""ISO 9001""]",88.08,90.61,89.76,81.85,81.08,66.59,8.5,2324,66,Net 45,framework,BRL,Medium,41.64,Medium,Tier 1,active,false,2017-01-01,2024-02-15,89.76,stable,false
SUP-0153,Brazil Global Industries 153,Brazil Global Industries 153,BR,Brazil,Rio de Janeiro,Textiles,2001,3329,632064898.02,444283,"[""CTN"", ""PAP"", ""SLC"", ""NIC""]","[""SA8000"", ""ISO 14001"", ""ISO 45001"", ""ISO 9001""]",72.09,92.03,74.47,84.19,86.5,75.84,40.4,2716,53,Net 30,multi-year,BRL,Medium,47.16,Medium,Tier 1,active,false,2017-08-01,2024-04-15,74.47,stable,false
SUP-0154,Brazil Integrated Supply 154,Brazil Integrated Supply 154,BR,Brazil,Rio de Janeiro,Construction,1978,881,68321000.59,45633,"[""GLS"", ""CTN"", ""LIT"", ""REE"", ""PAP""]","[""IATF 16949"", ""ISO 45001""]",89.01,92.28,91.03,71.46,60.48,73.29,6.0,2755,73,Net 45,spot,BRL,Medium,50.06,Medium,Tier 2,active,false,2017-07-01,2024-08-12,91.03,stable,false
SUP-0155,Brazil Advanced Materials 155,Brazil Advanced Materials 155,BR,Brazil,Sao Paulo,Polymers,1985,1584,554846950.68,402760,"[""PLA"", ""CTN"", ""CEM"", ""LIT""]","[""LEED""]",83.77,92.32,68.82,86.26,69.4,85.73,12.1,304,53,Net 45,multi-year,BRL,Medium,44.47,Medium,Tier 2,active,false,2017-07-01,2024-01-16,68.82,stable,false
SUP-0156,Brazil Precision Components 156,Brazil Precision Components 156,BR,Brazil,Sao Paulo,Battery,2015,226,331663759.33,109541,"[""NIC"", ""PAP"", ""TIM"", ""SLC"", ""CTN""]","[""ISO 45001"", ""ISO 14001"", ""IATF 16949"", ""LEED""]",81.41,89.72,77.1,59.02,77.48,88.34,42.4,1120,46,Net 90,multi-year,BRL,Medium,42.74,Medium,Tier 3,active,false,2017-12-01,2024-01-23,77.1,stable,false
SUP-0157,Brazil Industrial Works 157,Brazil Industrial Works 157,BR,Brazil,Curitiba,Electronics,1979,5884,643329862.7,81471,"[""SEM"", ""ALM"", ""STL""]","[""SA8000"", ""ISO 14001""]",77.72,91.13,96.22,69.1,77.66,77.92,31.5,3378,27,Net 45,spot,BRL,Medium,45.61,Medium,Tier 1,inactive,false,2017-06-01,2024-06-12,96.22,stable,false
SUP-0158,Brazil Global Industries 158,Brazil Global Industries 158,BR,Brazil,Curitiba,Electronics,2004,1039,497264908.18,620649,"[""SEM"", ""PAP"", ""SLC"", ""CTN""]","[""SA8000"", ""ISO 9001"", ""ISO 45001"", ""ResponsibleSteel""]",75.83,83.07,81.78,79.79,74.1,67.65,29.7,4293,17,Net 45,multi-year,BRL,Medium,49.07,Medium,Tier 2,active,false,2017-12-01,2024-07-10,81.78,stable,false
SUP-0159,Brazil Integrated Supply 159,Brazil Integrated Supply 159,BR,Brazil,Curitiba,Packaging,2009,1188,571625460.02,12729,"[""PAP"", ""LIT""]","[""ISO 9001"", ""SA8000"", ""ResponsibleSteel"", ""ISO 45001""]",81.4,76.55,78.35,73.45,82.21,70.23,32.4,1647,68,Net 45,framework,BRL,Medium,36.97,Medium,Tier 2,active,false,2017-03-01,2024-09-23,78.35,stable,false
SUP-0160,Brazil Advanced Materials 160,Brazil Advanced Materials 160,BR,Brazil,Sao Paulo,Metals,2002,19996,380461055.07,525140,"[""ALM"", ""CEM"", ""NIC"", ""PLA"", ""PAP""]","[""ISO 14001""]",90.41,94.52,86.25,75.84,56.97,87.48,30.3,2819,64,Net 60,framework,BRL,Medium,41.13,Medium,Tier 1,active,false,2017-07-01,2024-09-10,86.25,stable,false
SUP-0161,Mexico Precision Components 161,Mexico Precision Components 161,MX,Mexico,Mexico City,Polymers,2008,2410,409616854.01,131507,"[""RBR"", ""STL"", ""CTN"", ""PLA"", ""CEM""]","[""ResponsibleSteel"", ""ISO 45001"", ""ISO 9001"", ""LEED""]",70.66,85.89,87.45,70.89,83.33,98.21,34.8,986,38,Net 90,multi-year,MXN,Medium,41.35,Medium,Tier 2,active,false,2017-05-01,2024-08-12,87.45,stable,false
SUP-0162,Mexico Industrial Works 162,Mexico Industrial Works 162,MX,Mexico,Monterrey,Construction,1996,13589,732655814.71,891905,"[""CEM"", ""REE""]","[""LEED"", ""ISO 14001""]",83.05,100,84.72,69.22,71.27,79.05,15.3,1895,39,Net 45,framework,MXN,Medium,39.08,Medium,Tier 1,active,false,2017-03-01,2024-07-25,84.72,stable,false
SUP-0163,Mexico Global Industries 163,Mexico Global Industries 163,MX,Mexico,Monterrey,Polymers,1995,1181,219451071.79,16989,"[""PLA"", ""TIM""]","[""LEED"", ""ISO 14001"", ""SA8000""]",76.51,87.71,87.23,77.15,81.15,73.22,33.2,2143,50,Net 30,multi-year,MXN,Medium,43.17,Medium,Tier 2,active,false,2017-11-01,2024-04-02,87.23,stable,false
SUP-0164,Mexico Integrated Supply 164,Mexico Integrated Supply 164,MX,Mexico,Monterrey,Metals,1992,4247,610126467.14,467390,"[""COP"", ""PLA"", ""ALM"", ""CTN"", ""NIC""]","[""ResponsibleSteel"", ""IATF 16949""]",67.7,96.03,88.48,87.04,78.09,92.64,25.0,4923,25,Net 90,spot,MXN,Medium,58.85,Medium,Tier 1,active,false,2017-02-01,2024-06-26,88.48,stable,false
SUP-0165,Mexico Advanced Materials 165,Mexico Advanced Materials 165,MX,Mexico,Monterrey,Metals,2004,892,449843469.32,619429,"[""ALM"", ""GLS"", ""SEM"", ""RBR""]","[""SA8000"", ""ISO 45001"", ""IATF 16949""]",76.51,83.28,77.91,60.46,77.58,71.26,4.5,4424,19,Net 60,multi-year,MXN,Medium,47.46,Medium,Tier 2,active,false,2017-03-01,2024-06-13,77.91,stable,false
SUP-0166,Mexico Precision Components 166,Mexico Precision Components 166,MX,Mexico,Monterrey,Construction,1982,741,611944684.17,239576,"[""GLS"", ""CTN"", ""RBR"", ""PLA""]","[""IATF 16949"", ""SA8000"", ""ISO 9001""]",72.87,75.34,83.06,74.61,88.74,76.69,24.7,4967,9,Net 30,multi-year,MXN,Medium,44.11,Medium,Tier 2,active,false,2017-09-01,2024-06-22,83.06,stable,false
SUP-0167,Mexico Industrial Works 167,Mexico Industrial Works 167,MX,Mexico,Monterrey,Packaging,2010,4511,627457858.69,391257,"[""PAP"", ""SLC""]","[""ISO 45001"", ""ISO 9001"", ""ResponsibleSteel""]",79.63,90.6,92.18,84.89,71.57,77.7,26.5,1963,34,Net 60,spot,MXN,Medium,47.59,Medium,Tier 1,active,false,2017-04-01,2024-11-14,92.18,stable,false
SUP-0168,Mexico Global Industries 168,Mexico Global Industries 168,MX,Mexico,Monterrey,Metals,2003,18335,378412335.15,1164999,"[""ALM"", ""SEM"", ""STL""]","[""ISO 14001"", ""ISO 9001"", ""ISO 45001"", ""IATF 16949""]",100,90.12,88.59,60.28,64.08,75.99,6.5,765,32,Net 60,multi-year,MXN,Low,31.91,Low,Tier 1,inactive,false,2017-05-01,2024-06-05,88.59,stable,false
SUP-0169,Mexico Integrated Supply 169,Mexico Integrated Supply 169,MX,Mexico,Guadalajara,Construction,2000,1172,825875541.3,888925,"[""TIM"", ""CTN"", ""NIC"", ""SEM"", ""LIT""]","[""SA8000"", ""ISO 45001"", ""LEED""]",67.22,93.66,86.98,72.04,66.13,70.72,41.2,4136,12,Net 90,framework,MXN,Medium,41.34,Medium,Tier 2,active,false,2017-06-01,2024-08-09,86.98,stable,false
SUP-0170,Mexico Advanced Materials 170,Mexico Advanced Materials 170,MX,Mexico,Guadalajara,Construction,1976,174,247814016.07,90845,"[""CEM"", ""NIC"", ""GLS"", ""ALM""]","[""ISO 9001""]",82.62,77.72,86.6,73.58,70.98,71.84,21.4,4943,22,Net 90,spot,MXN,Medium,38.77,Medium,Tier 3,active,false,2017-01-01,2024-02-07,86.6,stable,false
SUP-0171,Thailand Precision Components 171,Thailand Precision Components 171,TH,Thailand,Bangkok,Metals,1993,543,472686186.1,67763,"[""STL"", ""PLA"", ""ALM"", ""SLC"", ""GLS""]","[""ResponsibleSteel"", ""IATF 16949""]",80.4,81.99,82.95,76.13,68.7,81.05,13.1,4504,54,Net 60,spot,THB,Medium,48.25,Medium,Tier 2,active,false,2017-02-01,2024-12-23,82.95,stable,false
SUP-0172,Thailand Industrial Works 172,Thailand Industrial Works 172,TH,Thailand,Chon Buri,Polymers,1995,19,217826954.01,132530,"[""PLA"", ""GLS""]","[""ISO 14001"", ""ISO 9001""]",83.65,89.58,88.18,59.17,60.4,85.06,8.6,1938,49,Net 60,multi-year,THB,Medium,35.41,Medium,Tier 3,active,false,2017-11-01,2024-04-16,88.18,stable,false
SUP-0173,Thailand Global Industries 173,Thailand Global Industries 173,TH,Thailand,Bangkok,Battery,1978,19433,710164340.61,1041918,"[""LIT"", ""GLS""]","[""ISO 14001"", ""ISO 9001"", ""IATF 16949""]",78.8,98.34,90.41,62.94,77.59,77.72,16.6,3018,54,Net 60,framework,THB,Medium,41.25,Medium,Tier 1,active,false,2017-08-01,2024-09-19,90.41,stable,false
SUP-0174,Thailand Integrated Supply 174,Thailand Integrated Supply 174,TH,Thailand,Bangkok,Polymers,1981,308,136752616.45,797139,"[""PLA"", ""SLC"", ""PAP"", ""GLS"", ""ALM""]","[""IATF 16949"", ""ISO 45001"", ""ISO 14001""]",68.45,81.48,92.29,78.17,64.37,51.66,35.1,3697,56,Net 30,multi-year,THB,Medium,50.71,Medium,Tier 2,active,false,2017-07-01,2024-12-15,92.29,stable,false
SUP-0175,Thailand Advanced Materials 175,Thailand Advanced Materials 175,TH,Thailand,Rayong,Construction,2007,3752,75379712.91,209327,"[""GLS"", ""RBR""]","[""IATF 16949""]",95.16,84.09,82.65,61.4,73.57,88.84,9.2,2758,11,Net 45,framework,THB,Low,31.43,Low,Tier 1,active,false,2017-04-01,2024-09-11,82.65,stable,false
SUP-0176,Thailand Precision Components 176,Thailand Precision Components 176,TH,Thailand,Rayong,Battery,1978,1063,185086332.58,386677,"[""LIT"", ""ALM"", ""GLS"", ""PAP""]","[""ISO 45001""]",84.83,90.74,89.79,81.05,61.45,69.09,10.6,660,23,Net 45,framework,THB,Low,33.09,Low,Tier 2,active,false,2017-07-01,2024-01-17,89.79,stable,false
SUP-0177,Thailand Industrial Works 177,Thailand Industrial Works 177,TH,Thailand,Rayong,Metals,2010,16987,839402784.91,408525,"[""COP"", ""NIC""]","[""ISO 9001""]",80.97,87.35,85.93,67.98,84.61,79.58,46.6,4569,60,Net 60,spot,THB,Medium,41.3,Medium,Tier 1,active,false,2017-11-01,2024-12-02,85.93,stable,false
SUP-0178,Thailand Global Industries 178,Thailand Global Industries 178,TH,Thailand,Chon Buri,Polymers,1990,230,208228429.93,313924,"[""PLA"", ""STL""]","[""ISO 45001"", ""ISO 14001""]",77.0,86.13,85.69,91.12,73.35,66.32,37.3,1564,24,Net 30,spot,THB,Medium,38.44,Medium,Tier 3,active,false,2017-12-01,2024-12-20,85.69,stable,false
SUP-0179,Poland Precision Supply 179,Poland Precision Supply 179,PL,Poland,Krakow,Electronics,1989,1539,506663391.49,603184,"[""SLC"", ""GLS"", ""ALM"", ""STL"", ""PLA""]","[""ISO 45001"", ""IATF 16949"", ""SA8000""]",70.52,84.31,72.27,76.84,65.53,82.33,8.3,4649,33,Net 30,spot,PLN,Low,34.84,Low,Tier 2,active,false,2017-02-01,2024-05-05,72.27,stable,false
SUP-0180,Poland Industrial Materials 180,Poland Industrial Materials 180,PL,Poland,Krakow,Polymers,1993,5178,108824524.7,549770,"[""PLA"", ""RBR""]","[""ISO 9001"", ""IATF 16949""]",89.98,100,86.45,74.61,58.41,75.58,7.2,456,25,Net 45,multi-year,PLN,Low,26.64,Low,Tier 1,active,false,2017-07-01,2024-11-11,86.45,stable,false
SUP-0181,Poland Global Components 181,Poland Global Components 181,PL,Poland,Krakow,Electronics,2012,46,241077449.14,306467,"[""REE"", ""STL"", ""RBR"", ""CEM"", ""NIC""]","[""IATF 16949"", ""ISO 14001"", ""ResponsibleSteel"", ""LEED""]",67.43,83.28,81.58,87.92,61.17,87.39,31.6,793,20,Net 45,framework,PLN,Low,31.51,Low,Tier 3,inactive,false,2017-06-01,2024-11-13,81.58,stable,false
SUP-0182,Poland Integrated Works 182,Poland Integrated Works 182,PL,Poland,Warsaw,Metals,1994,2174,818232676.3,147773,"[""STL"", ""NIC""]","[""SA8000"", ""ISO 9001""]",76.44,94.92,80.13,80.84,75.68,80.56,18.6,2563,39,Net 90,spot,PLN,Low,30.9,Low,Tier 2,inactive,false,2017-11-01,2024-06-12,80.13,stable,false
SUP-0183,Poland Advanced Industries 183,Poland Advanced Industries 183,PL,Poland,Warsaw,Textiles,1975,21543,146457422.69,928239,"[""CTN"", ""COP"", ""REE"", ""PAP"", ""PLA""]","[""ISO 45001"", ""ISO 14001"", ""IATF 16949"", ""SA8000""]",79.1,100,86.31,75.06,75.91,99.66,44.5,2517,64,Net 90,framework,PLN,Low,24.01,Low,Tier 1,inactive,false,2017-08-01,2024-01-12,86.31,stable,false
SUP-0184,Poland Precision Supply 184,Poland Precision Supply 184,PL,Poland,Warsaw,Metals,1984,24245,310041933.26,607539,"[""STL"", ""COP"", ""SLC"", ""GLS"", ""REE""]","[""SA8000"", ""LEED""]",87.66,94.95,85.66,100,79.26,80.67,7.3,781,20,Net 30,spot,PLN,Low,23.37,Low,Tier 1,inactive,false,2017-03-01,2024-07-17,85.66,stable,false
SUP-0185,Poland Industrial Materials 185,Poland Industrial Materials 185,PL,Poland,Krakow,Metals,1990,1981,509993341.99,796650,"[""COP"", ""REE""]","[""ISO 45001"", ""ResponsibleSteel""]",89.95,91.66,82.16,75.62,54.87,94.41,13.6,4450,14,Net 45,framework,PLN,Low,30.22,Low,Tier 2,inactive,false,2017-01-01,2024-01-18,82.16,stable,false
SUP-0186,Poland Global Components 186,Poland Global Components 186,PL,Poland,Krakow,Construction,2007,1406,89611084.76,35104,"[""GLS"", ""PAP"", ""NIC"", ""CEM"", ""TIM""]","[""SA8000"", ""ISO 45001"", ""LEED"", ""IATF 16949""]",78.33,82.88,92.51,74.63,66.63,83.86,31.7,530,9,Net 30,multi-year,PLN,Low,26.0,Low,Tier 2,inactive,false,2017-02-01,2024-07-20,92.51,stable,false
SUP-0187,Turkey Precision Works 187,Turkey Precision Works 187,TR,Turkey,Ankara,Textiles,1990,327,656467733.42,69078,"[""CTN"", ""SLC""]","[""ISO 9001"", ""LEED"", ""ISO 14001"", ""ISO 45001""]",69.96,99.65,85.98,53.57,59.09,81.91,40.1,4237,34,Net 90,framework,TRY,Medium,56.33,Medium,Tier 2,inactive,false,2017-02-01,2024-01-09,85.98,stable,false
SUP-0188,Turkey Industrial Industries 188,Turkey Industrial Industries 188,TR,Turkey,Bursa,Metals,1998,329,26036459.22,870908,"[""STL"", ""ALM""]","[""IATF 16949""]",72.78,78.05,70.63,79.83,62.17,62.04,23.8,3998,20,Net 60,multi-year,TRY,High,61.2,High,Tier 2,inactive,false,2017-04-01,2024-11-23,70.63,stable,false
SUP-0189,Turkey Global Supply 189,Turkey Global Supply 189,TR,Turkey,Bursa,Polymers,1982,335,463782104.08,702797,"[""PLA"", ""RBR""]","[""ISO 14001"", ""ResponsibleSteel"", ""SA8000""]",76.81,89.91,82.52,65.06,65.82,57.83,12.0,1729,50,Net 45,multi-year,TRY,Medium,55.58,Medium,Tier 2,inactive,false,2017-12-01,2024-11-12,82.52,stable,false
SUP-0190,Turkey Integrated Materials 190,Turkey Integrated Materials 190,TR,Turkey,Istanbul,Polymers,1990,900,646579966.91,886985,"[""PLA"", ""PAP"", ""SEM""]","[""SA8000"", ""LEED""]",68.53,78.4,81.86,61.49,67.36,100,47.7,1316,21,Net 90,framework,TRY,Medium,57.78,Medium,Tier 2,inactive,false,2017-06-01,2024-01-23,81.86,stable,false
SUP-0191,Turkey Advanced Components 191,Turkey Advanced Components 191,TR,Turkey,Bursa,Packaging,1976,1349,419739597.52,557319,"[""PAP"", ""LIT"", ""GLS"", ""STL"", ""SEM""]","[""ISO 14001"", ""SA8000"", ""ResponsibleSteel""]",63.1,81.46,85.21,74.15,65.05,56.6,15.0,3530,42,Net 90,multi-year,TRY,Medium,59.93,Medium,Tier 2,inactive,false,2017-09-01,2024-05-05,85.21,stable,false
SUP-0192,Turkey Precision Works 192,Turkey Precision Works 192,TR,Turkey,Istanbul,Construction,1997,5383,224568590.53,938892,"[""GLS"", ""PLA""]","[""SA8000"", ""IATF 16949""]",84.3,100,83.89,76.09,76.16,78.05,26.3,4102,57,Net 45,spot,TRY,Medium,54.06,Medium,Tier 1,inactive,false,2017-02-01,2024-03-13,83.89,stable,false
SUP-0193,South Africa Precision Industries 193,South Africa Precision Industries 193,ZA,South Africa,Durban,Electronics,1995,15116,840527724.24,290345,"[""SLC"", ""SEM""]","[""LEED"", ""ISO 45001""]",78.34,96.96,82.45,69.38,66.72,77.72,47.6,1093,36,Net 30,multi-year,ZAR,Medium,57.27,Medium,Tier 1,inactive,false,2017-10-01,2024-09-22,82.45,stable,false
SUP-0194,South Africa Industrial Supply 194,South Africa Industrial Supply 194,ZA,South Africa,Durban,Electronics,1992,243,13436007.18,441118,"[""REE"", ""PAP"", ""SLC"", ""RBR""]","[""ISO 14001"", ""ResponsibleSteel"", ""LEED"", ""SA8000""]",68.82,82.49,79.23,77.33,57.68,67.45,3.7,1815,26,Net 60,framework,ZAR,High,68.76,High,Tier 3,inactive,false,2017-01-01,2024-01-25,79.23,stable,false
SUP-0195,South Africa Global Materials 195,South Africa Global Materials 195,ZA,South Africa,Johannesburg,Construction,1989,1181,608814287.0,472402,"[""GLS"", ""SLC"", ""STL"", ""COP""]","[""SA8000"", ""IATF 16949""]",78.72,85.0,89.12,70.36,72.45,59.83,29.0,226,26,Net 45,spot,ZAR,High,61.09,High,Tier 2,inactive,false,2017-11-01,2024-03-08,89.12,stable,false
SUP-0196,South Africa Integrated Components 196,South Africa Integrated Components 196,ZA,South Africa,Johannesburg,Battery,1980,2376,121853740.25,830032,"[""LIT"", ""RBR""]","[""SA8000""]",77.22,90.65,79.61,82.69,58.08,87.88,30.5,2991,43,Net 60,framework,ZAR,High,60.3,High,Tier 2,inactive,false,2017-09-01,2024-02-25,79.61,stable,false
SUP-0197,Australia Precision Works 197,Australia Precision Works 197,AU,Australia,Sydney,Packaging,1978,15543,559143624.83,907928,"[""PAP"", ""STL"", ""REE"", ""COP"", ""LIT""]","[""LEED"", ""SA8000""]",92.51,85.31,87.77,79.7,76.99,78.87,22.5,817,30,Net 45,spot,AUD,Low,18.46,Low,Tier 1,inactive,false,2017-06-01,2024-05-21,87.77,stable,false
SUP-0198,Australia Industrial Industries 198,Australia Industrial Industries 198,AU,Australia,Sydney,Electronics,1991,2238,773479802.55,707050,"[""SEM"", ""CTN"", ""CEM""]","[""SA8000""]",83.61,77.6,95.64,68.22,81.22,69.4,43.4,4752,30,Net 90,multi-year,AUD,Low,26.4,Low,Tier 2,inactive,false,2017-12-01,2024-11-21,95.64,stable,false
SUP-0199,Australia Global Supply 199,Australia Global Supply 199,AU,Australia,Melbourne,Construction,1976,1966,439744485.36,565620,"[""CEM"", ""SLC""]","[""SA8000"", ""ISO 9001""]",92.38,80.0,79.75,69.15,58.89,71.18,6.8,4861,35,Net 90,multi-year,AUD,Low,26.0,Low,Tier 2,inactive,false,2017-09-01,2024-03-21,79.75,stable,false
SUP-0200,Australia Integrated Materials 200,Australia Integrated Materials 200,AU,Australia,Melbourne,Electronics,1983,2226,32457246.93,814482,"[""SEM"", ""PAP"", ""CTN"", ""CEM"", ""TIM""]","[""ResponsibleSteel"", ""ISO 45001""]",96.98,88.64,79.85,86.49,78.99,96.2,21.4,3575,53,Net 90,spot,AUD,Low,21.23,Low,Tier 2,inactive,false,2017-10-01,2024-11-17,79.85,stable,false
SUP-0201,Canada Precision Components 201,Canada Precision Components 201,CA,Canada,Toronto,Electronics,1981,46,483686289.34,103369,"[""REE"", ""LIT"", ""GLS"", ""CEM""]","[""SA8000""]",88.45,81.44,66.82,88.35,88.94,87.31,11.4,871,20,Net 90,multi-year,CAD,Low,29.99,Low,Tier 3,blacklisted,false,2017-07-01,2024-01-11,66.82,stable,false
SUP-0202,Canada Industrial Works 202,Canada Industrial Works 202,CA,Canada,Toronto,Battery,2000,1226,243677139.01,232765,"[""LIT"", ""GLS"", ""CTN"", ""STL"", ""CEM""]","[""ISO 45001"", ""SA8000"", ""IATF 16949"", ""LEED""]",91.45,90.72,87.77,64.34,86.8,78.85,32.2,4265,54,Net 60,multi-year,CAD,Low,16.47,Low,Tier 2,blacklisted,false,2017-12-01,2024-06-15,87.77,stable,false
SUP-0203,Canada Global Industries 203,Canada Global Industries 203,CA,Canada,Vancouver,Metals,2014,211,465808675.82,48611,"[""STL"", ""ALM"", ""SEM"", ""TIM"", ""REE""]","[""IATF 16949""]",87.68,71.95,91.93,73.96,78.27,71.34,37.6,3380,12,Net 90,spot,CAD,Low,32.49,Low,Tier 3,blacklisted,false,2017-11-01,2024-12-13,91.93,stable,false
SUP-0204,Canada Integrated Supply 204,Canada Integrated Supply 204,CA,Canada,Vancouver,Packaging,1986,13707,120090808.17,479100,"[""PAP"", ""GLS""]","[""IATF 16949""]",88.1,84.6,98.05,79.34,86.54,77.87,17.3,1718,57,Net 45,multi-year,CAD,Low,15.59,Low,Tier 1,blacklisted,false,2017-04-01,2024-07-25,98.05,stable,false
